A1,A1Label,Rel,A2,A2Label,Count
BCIO:006090,social behavioural opportunity,Part of,ENVO:01000254,environmental system,2
BCIO:006090,social behavioural opportunity,Part of,BCIO:006086,behavioural opportunity,2
BCIO:006082,social role,Part of,ENVO:01000254,environmental system,2
BCIO:006082,social role,Part of,BCIO:006086,behavioural opportunity,2
BCIO:006089,physical behavioural opportunity,Part of,BCIO:006086,behavioural opportunity,2
MF:0000041,belief,Part of,MF:0000020,mental process,2
MF:0000041,belief,Part of,BCIO:015161,personal history,2
BCIO:050577,behavioural barrier,Influences,BCIO:036000,individual human behaviour,2
BCIO:050328,attitude,Part of,BCIO:006086,behavioural opportunity,2
BCIO:006041,perceived evaluative behavioural norm,Part of,BCIO:006039,perceived norm,2
BCIO:006052,knowledge,Influences,BCIO:036000,individual human behaviour,2
MFOEM:000195,affective process,Influences,BCIO:036000,individual human behaviour,2
BCIO:015098,gender identity,Influences,BCIO:006038,evaluative belief,2
BCIO:006038,evaluative belief,Part of,BCIO:006052,knowledge,2
BCIO:006038,evaluative belief,Part of,BCIO:006063,personal value,2
ENVO:01000254,environmental system,Influences,BCIO:006086,behavioural opportunity,2
BCIO:050647,evaluative belief about the negative consequences of a behaviour,Part of,BCIO:050577,behavioural barrier,2
BCIO:050215,behavioural capability,Influences,BCIO:006133,behavioural motivation,2
BCIO:050643,environmental opportunity for pleasure,Part of,BCIO:006064,psychological need,2
BCIO:050215,behavioural capability,Part of,BCIO:006086,behavioural opportunity,2
BCIO:006064,psychological need,Part of,BCIO:050215,behavioural capability,2
BCIO:006154,self-efficacy belief for a behaviour,Influences,BCIO:006078,appraisal of obligation to act,2
BCIO:006019,belief about consequences of behaviour,Type of,BCIO:050649,evaluative belief about the possible future consequences of one’s behaviour,2
BCIO:050760,schedule of reinforcement,Type of,BCIO:050756,reinforcer,2
BCIO:050805,behaviour pattern maintenance,Transitions to,BCIO:050683,intention to enact a behaviour,2
BCIO:050922,behaviour enacter,Transitions to,BCIO:050493,undecidedness about enacting a behaviour,2
BFO:0000038,one-dimensional temporal region,Transitions to,BCIO:050493,undecidedness about enacting a behaviour,2
BCIO:050922,behaviour enacter,Transitions to,BCIO:050492,unawareness of a behaviour,2
BCIO:050683,intention to enact a behaviour,Transitions to,BCIO:050924,behaviour non-intender,2
BCIO:050683,intention to enact a behaviour,Transitions to,BFO:0000038,one-dimensional temporal region,2
BCIO:050923,behaviour intender,Transitions to,BCIO:050924,behaviour non-intender,2
BCIO:050923,behaviour intender,Transitions to,BFO:0000038,one-dimensional temporal region,2
ADDICTO:0000399,self-identity,Influences,BCIO:050638,emotion about self,2
BCIO:006016,behavioural intention,Part of,ADDICTO:0000399,self-identity,2
BCIO:050228,mental plan,Part of,ADDICTO:0000399,self-identity,2
ADDICTO:0000399,self-identity,Part of,MF:0000032,bodily disposition,2
BCIO:050638,emotion about self,Influences,ADDICTO:0000399,self-identity,2
BCIO:050819,harm preventing behaviour,Type of,BCIO:050890,protective factor for harmful behaviour,2
BCIO:050489,personal vulnerability to harmful behaviour,Type of,ENVO:01000254,environmental system,2
BCIO:050231,temporal orientation to the present,Influences,ADDICTO:0000349,addiction,2
BCIO:006049,goal,Type of,BCIO:050818,goal-directed behaviour,2
BCIO:006307,extrinsic motivation,Type of,BCIO:006133,behavioural motivation,2
ENVO:01000452,environmental disposition,Part of,BCIO:006001,social environmental system,2
ENVO:01000452,environmental disposition,Part of,BCIO:050772,social environmental disposition,2
BCIO:007094,practise behaviour BCT,Influences,BCIO:050886,extent of past behavioural achievement,2
BCIO:007055,demonstrate the behaviour BCT,Influences,BCIO:050800,observational learning,2
BCIO:007094,practise behaviour BCT,Type of,BCIO:003000,behaviour change intervention,2
BCIO:007089,systematically desensitise BCT,Type of,BCIO:003000,behaviour change intervention,2
ENVO:01000254,environmental system,Part of,BCIO:050679,information evaluation process,2
BCIO:050215,behavioural capability,Part of,ENVO:01000254,environmental system,2
BCIO:006001,social environmental system,Influences,BCIO:050671,group evaluative behavioural norm,2
BCIO:006005,self-regulation capability,Type of,MF:0000032,bodily disposition,2
ENVO:01000452,environmental disposition,Influences,BCIO:036072,antisocial behaviour,2
BCIO:050750,psychological attachment to conventional society,Part of,BCIO:050749,psychological attachment formation to conventional society,2
BCIO:006001,social environmental system,Type of,BCIO:050891,social group,2
BCIO:006154,self-efficacy belief for a behaviour,Influences,BCIO:006016,behavioural intention,2
BCIO:050775,social identity process,Part of,BCIO:006090,social behavioural opportunity,2
BCIO:050775,social identity process,Part of,BCIO:006001,social environmental system,2
BCIO:050800,observational learning,Part of,BCIO:006090,social behavioural opportunity,2
BCIO:050672,group facilitation behaviour,Part of,BCIO:006090,social behavioural opportunity,2
BCIO:050672,group facilitation behaviour,Part of,BCIO:006001,social environmental system,2
ADDICTO:0001087,social identity,Part of,BCIO:006090,social behavioural opportunity,2
ADDICTO:0001087,social identity,Part of,BCIO:006001,social environmental system,2
BCIO:006001,social environmental system,Part of,BCIO:050891,social group,2
BCIO:006095,normative behaviour,Type of,BCIO:006039,perceived norm,2
BCIO:006095,normative behaviour,Type of,BCIO:050671,group evaluative behavioural norm,2
BCIO:050300,personal attribute,Influences,BCIO:050893,socio-demographic characteristic,2
BCIO:050893,socio-demographic characteristic,Part of,BCIO:015092,health status attribute,2
BCIO:050893,socio-demographic characteristic,Part of,MF:0000021,interpersonal process,2
ADDICTO:0000399,self-identity,Part of,BCIO:006001,social environmental system,2
BCIO:006152,belief about control over behaviour,Influences (*),BCIO:006017,belief about barriers to a behaviour,2
BCIO:006152,belief about control over behaviour,Influences (*),BCIO:050591,belief about enablers of a behaviour,2
BCIO:006063,personal value,Influences,BCIO:036089,political behaviour,2
BCIO:050635,economic environmental system,Influences,ENVO:01000254,environmental system,2
BCIO:050564,affective attitude acquired through association,Influences,BCIO:050590,belief about emotional consequences of goal attainment,1
BCIO:050590,belief about emotional consequences of goal attainment,Influences,MF:0000045,wanting,1
BCIO:050590,belief about emotional consequences of goal attainment,Influences,BCIO:050316,subjective need,1
BCIO:006034,belief about choice over a behaviour,Influences,MF:0000045,wanting,1
BCIO:006034,belief about choice over a behaviour,Influences,BCIO:050316,subjective need,1
MFOEM:000075,appraisal of causal agency,Influences,MF:0000045,wanting,1
MFOEM:000075,appraisal of causal agency,Influences,BCIO:050316,subjective need,1
BCIO:050886,extent of past behavioural achievement,Influences,BCIO:007023,provide feedback on behaviour BCT,1
BCIO:006016,behavioural intention,Positively influences,MF:0000045,wanting,1
BCIO:006016,behavioural intention,Positively influences,BCIO:050316,subjective need,1
BCIO:006042,normative belief,Influences,MF:0000045,wanting,1
BCIO:006042,normative belief,Influences,BCIO:050316,subjective need,1
BCIO:006059,motivation to comply,Influences,MF:0000045,wanting,1
BCIO:006059,motivation to comply,Influences,BCIO:050316,subjective need,1
BCIO:050328,attitude,Influences,MF:0000045,wanting,1
BCIO:050328,attitude,Influences,BCIO:050316,subjective need,1
BCIO:006096,goal pursuit process,Positively influences,BCIO:050818,goal-directed behaviour,1
BCIO:006034,belief about choice over a behaviour,Positively influences,BCIO:050818,goal-directed behaviour,1
MFOEM:000075,appraisal of causal agency,Positively influences,BCIO:050818,goal-directed behaviour,1
BCIO:006034,belief about choice over a behaviour,Positively influences,BCIO:006096,goal pursuit process,1
MFOEM:000075,appraisal of causal agency,Positively influences,BCIO:006096,goal pursuit process,1
BCIO:007023,provide feedback on behaviour BCT,Influences,MF:0000032,bodily disposition,1
BCIO:007023,provide feedback on behaviour BCT,Influences,ENVO:01000254,environmental system,1
BCIO:050817,frequency of past behaviour,Influences,MF:0000045,wanting,1
BCIO:050817,frequency of past behaviour,Influences,BCIO:050316,subjective need,1
BCIO:006063,personal value,Influences,MF:0000045,wanting,1
BCIO:006063,personal value,Influences,BCIO:050316,subjective need,1
BCIO:050775,social identity process,Influences,MF:0000045,wanting,1
BCIO:050775,social identity process,Influences,BCIO:050316,subjective need,1
BCIO:050775,social identity process,Influences,BCIO:006016,behavioural intention,1
BCIO:050918,low frequency of past behaviour,Influences,BCIO:006016,behavioural intention,1
BCIO:050453,behaviour end point,Positively influences,BCIO:050818,goal-directed behaviour,1
BCIO:050481,past behaviour,Positively influences,BCIO:050818,goal-directed behaviour,1
BCIO:050917,high frequency of past behaviour,Influences,BCIO:050818,goal-directed behaviour,1
BCIO:006034,belief about choice over a behaviour,Influences,BCIO:006016,behavioural intention,1
MFOEM:000075,appraisal of causal agency,Influences,BCIO:006016,behavioural intention,1
BCIO:050617,comparative desirability appraisal,Influences (*),BCIO:006016,behavioural intention,1
BCIO:050592,belief about goal attainment,Influences (*),BCIO:006016,behavioural intention,1
MFOEM:000001,emotion process,Part of,BCIO:050564,affective attitude acquired through association,1
BCIO:006042,normative belief,Influences (*),BCIO:006059,motivation to comply,1
MF:0000041,belief,Influences (*),BCIO:050328,attitude,1
MF:0000041,belief,Influences (*),BCIO:006042,normative belief,1
MF:0000041,belief,Influences (*),BCIO:006059,motivation to comply,1
BCIO:006019,belief about consequences of behaviour,Influences (*),BCIO:006042,normative belief,1
BCIO:006019,belief about consequences of behaviour,Influences (*),BCIO:006059,motivation to comply,1
BCIO:006038,evaluative belief,Influences (*),BCIO:050328,attitude,1
BCIO:006038,evaluative belief,Influences (*),BCIO:006042,normative belief,1
BCIO:006038,evaluative belief,Influences (*),BCIO:006059,motivation to comply,1
BCIO:006148,evaluative belief about the consequences of behaviour,Influences (*),BCIO:006042,normative belief,1
BCIO:006148,evaluative belief about the consequences of behaviour,Influences (*),BCIO:006059,motivation to comply,1
BCIO:050590,belief about emotional consequences of goal attainment,Part of,MF:0000032,bodily disposition,1
BCIO:050590,belief about emotional consequences of goal attainment,Part of,ENVO:01000254,environmental system,1
BCIO:050775,social identity process,Part of,MF:0000032,bodily disposition,1
BCIO:050775,social identity process,Part of,ENVO:01000254,environmental system,1
BCIO:050564,affective attitude acquired through association,Part of,MF:0000032,bodily disposition,1
BCIO:050564,affective attitude acquired through association,Part of,ENVO:01000254,environmental system,1
BCIO:050328,attitude,Part of,MF:0000032,bodily disposition,1
BCIO:006034,belief about choice over a behaviour,Part of,MF:0000032,bodily disposition,1
BCIO:006034,belief about choice over a behaviour,Part of,ENVO:01000254,environmental system,1
MFOEM:000075,appraisal of causal agency,Part of,MF:0000032,bodily disposition,1
MFOEM:000075,appraisal of causal agency,Part of,ENVO:01000254,environmental system,1
MF:0000045,wanting,Part of,MF:0000032,bodily disposition,1
MF:0000045,wanting,Part of,ENVO:01000254,environmental system,1
BCIO:050316,subjective need,Part of,MF:0000032,bodily disposition,1
BCIO:050316,subjective need,Part of,ENVO:01000254,environmental system,1
BCIO:050817,frequency of past behaviour,Part of,MF:0000032,bodily disposition,1
BCIO:050817,frequency of past behaviour,Part of,ENVO:01000254,environmental system,1
BCIO:006063,personal value,Part of,MF:0000032,bodily disposition,1
BCIO:006063,personal value,Part of,ENVO:01000254,environmental system,1
BCIO:006096,goal pursuit process,Part of,MF:0000032,bodily disposition,1
BCIO:006096,goal pursuit process,Part of,ENVO:01000254,environmental system,1
BCIO:050453,behaviour end point,Part of,MF:0000032,bodily disposition,1
BCIO:050453,behaviour end point,Part of,ENVO:01000254,environmental system,1
BCIO:050481,past behaviour,Part of,MF:0000032,bodily disposition,1
BCIO:050481,past behaviour,Part of,ENVO:01000254,environmental system,1
BCIO:050617,comparative desirability appraisal,Part of,MF:0000032,bodily disposition,1
BCIO:050617,comparative desirability appraisal,Part of,ENVO:01000254,environmental system,1
BCIO:050592,belief about goal attainment,Part of,MF:0000032,bodily disposition,1
BCIO:050592,belief about goal attainment,Part of,ENVO:01000254,environmental system,1
MF:0000041,belief,Part of,MF:0000032,bodily disposition,1
MF:0000041,belief,Part of,ENVO:01000254,environmental system,1
BCIO:006019,belief about consequences of behaviour,Part of,MF:0000032,bodily disposition,1
BCIO:006019,belief about consequences of behaviour,Part of,ENVO:01000254,environmental system,1
BCIO:006038,evaluative belief,Part of,MF:0000032,bodily disposition,1
BCIO:006038,evaluative belief,Part of,ENVO:01000254,environmental system,1
BCIO:006148,evaluative belief about the consequences of behaviour,Part of,MF:0000032,bodily disposition,1
BCIO:006148,evaluative belief about the consequences of behaviour,Part of,ENVO:01000254,environmental system,1
BCIO:050917,high frequency of past behaviour,Part of,BCIO:050817,frequency of past behaviour,1
BCIO:050918,low frequency of past behaviour,Part of,BCIO:050817,frequency of past behaviour,1
ENVO:01000254,environmental system,Influences,BCIO:006001,social environmental system,1
BCIO:006086,behavioural opportunity,Influences,BCIO:006001,social environmental system,1
BCIO:006086,behavioural opportunity,Influences,BCIO:006099,social influence behaviour,1
BCIO:006134,automatic behavioural motivation,Influences,BCIO:006005,self-regulation capability,1
BCIO:006001,social environmental system,Influences (*),BCIO:036072,antisocial behaviour,1
BCIO:006099,social influence behaviour,Influences (*),BCIO:036072,antisocial behaviour,1
BCIO:006005,self-regulation capability,Influences (*),BCIO:036072,antisocial behaviour,1
ADDICTO:0000399,self-identity,Part of,BCIO:006005,self-regulation capability,1
BCIO:006035,evaluation of self,Part of,BCIO:006005,self-regulation capability,1
BCIO:050890,protective factor for harmful behaviour,Part of,BCIO:006005,self-regulation capability,1
BCIO:050708,moral personal value,Part of,BCIO:006005,self-regulation capability,1
BCIO:006006,behavioural self-regulation capability,Part of,BCIO:006005,self-regulation capability,1
BCIO:006060,motivational orientation,Part of,BCIO:006005,self-regulation capability,1
BCIO:050954,behavioural substitution capability,Part of,BCIO:006005,self-regulation capability,1
BCIO:050580,behavioural dissonance reduction through mental process,Part of,BCIO:006005,self-regulation capability,1
BCIO:006001,social environmental system,Part of,BCIO:006099,social influence behaviour,1
BCIO:050656,extrinsic social motivation,Part of,BCIO:006001,social environmental system,1
BCIO:050656,extrinsic social motivation,Part of,BCIO:006099,social influence behaviour,1
BCIO:050671,group evaluative behavioural norm,Part of,BCIO:006099,social influence behaviour,1
BCIO:050803,association behaviour with a pro-social group,Part of,BCIO:006001,social environmental system,1
BCIO:050803,association behaviour with a pro-social group,Part of,BCIO:006099,social influence behaviour,1
BCIO:050778,social reinforcement process for a behaviour,Part of,BCIO:006001,social environmental system,1
BCIO:050778,social reinforcement process for a behaviour,Part of,BCIO:006099,social influence behaviour,1
BCIO:036000,individual human behaviour,Influences,BCIO:050823,impact of behaviour on environment,1
BCIO:050619,comparison of current situation with a standard,Influences,BCIO:036000,individual human behaviour,1
BCIO:050823,impact of behaviour on environment,Influences,MF:0000019,perception,1
MF:0000019,perception,Influences,BCIO:050619,comparison of current situation with a standard,1
MF:0000019,perception,Influences,BCIO:050860,desired standard for self-identity,1
MF:0000019,perception,Influences,BCIO:050268,self-regulation process,1
BCIO:050860,desired standard for self-identity,Influences,BCIO:050859,desired self-regulatory standard,1
BCIO:050859,desired self-regulatory standard,Influences,BCIO:050268,self-regulation process,1
BCIO:050268,self-regulation process,Influences,BCIO:006079,desired standard,1
BCIO:006079,desired standard,Influences,BCIO:050619,comparison of current situation with a standard,1
ENVO:01000254,environmental system,Influences,BCIO:050823,impact of behaviour on environment,1
BCIO:050860,desired standard for self-identity,Part of,BCIO:050956,degree of organisational hierarchy,1
BCIO:050268,self-regulation process,Part of,BCIO:050956,degree of organisational hierarchy,1
BCIO:006003,friendship network,Influences,BCIO:050239,learning,1
BCIO:036084,association behaviour,Influences,BCIO:050239,learning,1
BCIO:036034,human communication behaviour,Influences,BCIO:050239,learning,1
BCIO:050239,learning,Influences,BCIO:006039,perceived norm,1
BCIO:050455,behavioural duration,Influences,BCIO:036084,association behaviour,1
BCIO:050893,socio-demographic characteristic,Influences,BCIO:036084,association behaviour,1
BCIO:050771,social embeddedness in a social group,Influences,BCIO:036084,association behaviour,1
BCIO:050428,behavioural frequency,Influences,BCIO:036084,association behaviour,1
BCIO:006039,perceived norm,Influences,BCIO:050810,criminal behaviour,1
BCIO:015161,personal history,Influences,BCIO:050810,criminal behaviour,1
BCIO:050950,social learning,Part of,BCIO:050239,learning,1
MF:0000048,mental capability,Part of,BCIO:050239,learning,1
BCIO:050731,person’s environmental system,Influences (*),BCIO:015161,personal history,1
BCIO:006086,behavioural opportunity,Influences (*),BCIO:015161,personal history,1
BCIO:006086,behavioural opportunity,Influences (*),BCIO:050731,person’s environmental system,1
BCIO:050239,learning,Influences (*),BCIO:015161,personal history,1
BCIO:036084,association behaviour,Influences (*),BCIO:015161,personal history,1
BCIO:050238,non-linguistic communication behaviour,Influences (*),BCIO:036034,human communication behaviour,1
BCIO:050237,linguistic communication behaviour,Influences (*),BCIO:036034,human communication behaviour,1
BCIO:036034,human communication behaviour,Influences,BCIO:007055,demonstrate the behaviour BCT,1
BCIO:006054,knowledge regarding an innovation,Transitions to,BCIO:050650,evaluative belief formation,1
BCIO:050650,evaluative belief formation,Transitions to,BCIO:006048,behavioural decision,1
BCIO:006048,behavioural decision,Transitions to,BCIO:036000,individual human behaviour,1
BCIO:036000,individual human behaviour,Transitions to,BCIO:050802,approval seeking behaviour,1
BCIO:050798,willingness to adopt new behaviours,Influences,BCIO:050729,openness-to-change personal value,1
BCIO:006001,social environmental system,Influences,BCIO:050921,behaviour change rate,1
BCIO:006001,social environmental system,Negatively influences,BCIO:050864,feeling of uncertainty about one’s behaviour,1
BCIO:050681,intention for collective behaviour,Positively influences,BCIO:050769,similarity to other people,1
BCIO:050478,influencer role,Influences,BCIO:050769,similarity to other people,1
BCIO:006116,decision-making,Influences,BCIO:050806,behavioural consequence,1
BCIO:050806,behavioural consequence,Influences,BCIO:006001,social environmental system,1
BCIO:050773,social environmental system attribute,Influences,BCIO:006001,social environmental system,1
BCIO:050773,social environmental system attribute,Influences,BCIO:050921,behaviour change rate,1
BCIO:050769,similarity to other people,Type of,BCIO:036034,human communication behaviour,1
BCIO:050842,role model for a person,Type of,BCIO:036034,human communication behaviour,1
BCIO:050887,leadership role,Type of,BCIO:036034,human communication behaviour,1
BCIO:050889,person in a social environmental system,Type of,BCIO:036034,human communication behaviour,1
BCIO:050556,mass media mode of delivery,Type of,BCIO:050384,communication,1
BCIO:036034,human communication behaviour,Type of,BCIO:050384,communication,1
BCIO:050681,intention for collective behaviour,Part of,BCIO:006001,social environmental system,1
BCIO:006095,normative behaviour,Part of,BCIO:006001,social environmental system,1
BCIO:050773,social environmental system attribute,Type of,BCIO:006095,normative behaviour,1
BCIO:050478,influencer role,Type of,BCIO:050773,social environmental system attribute,1
BCIO:006054,knowledge regarding an innovation,Part of,BCIO:006116,decision-making,1
BCIO:050650,evaluative belief formation,Part of,BCIO:006116,decision-making,1
BCIO:006048,behavioural decision,Part of,BCIO:006116,decision-making,1
BCIO:036000,individual human behaviour,Part of,BCIO:006116,decision-making,1
BCIO:050802,approval seeking behaviour,Part of,BCIO:006116,decision-making,1
BCIO:050481,past behaviour,Part of,BCIO:006048,behavioural decision,1
MFOEM:000226,appraisal of desirability,Type of,BCIO:050806,behavioural consequence,1
MFOEM:000060,appraisal of expectedness,Type of,BCIO:050806,behavioural consequence,1
BCIO:006074,social embeddedness,Type of,BCIO:050773,social environmental system attribute,1
BCIO:036011,social organisation behaviour,Type of,BCIO:050773,social environmental system attribute,1
BCIO:050938,centralisation of decision-making,Type of,BCIO:050773,social environmental system attribute,1
BCIO:006052,knowledge,Influences,BCIO:050328,attitude,1
MF:0000041,belief,Influences,BCIO:050328,attitude,1
ENVO:01000254,environmental system,Influences,BCIO:006042,normative belief,1
BCIO:006086,behavioural opportunity,Influences,BCIO:006042,normative belief,1
BCIO:050655,extrinsic reward,Influences,BCIO:036000,individual human behaviour,1
BCIO:006095,normative behaviour,Part of,ENVO:01000254,environmental system,1
BCIO:006095,normative behaviour,Part of,BCIO:006086,behavioural opportunity,1
ADDICTO:0001273,public health promotion policy,Part of,ENVO:01000254,environmental system,1
ADDICTO:0001273,public health promotion policy,Part of,BCIO:006086,behavioural opportunity,1
BCIO:050600,belief about social support for a behaviour,Part of,BCIO:006042,normative belief,1
BCIO:050219,belief about health consequences of behaviour,Part of,BCIO:006052,knowledge,1
BCIO:050219,belief about health consequences of behaviour,Part of,MF:0000041,belief,1
BCIO:006149,belief about the personal desirability of consequences of a behaviour,Part of,BCIO:006052,knowledge,1
