1---Action Theory Model of Consumption	has construct	Trying
1---Action Theory Model of Consumption	has construct	Performance of goal-directed behaviours
Trying	Positively influences	Performance of goal-directed behaviours
Trying	has annotation	BCIO:006096---goal pursuit process
Performance of goal-directed behaviours	has annotation	BCIO:050818---goal-directed behaviour
1---Action Theory Model of Consumption	has construct	Perceived behavioural control
1---Action Theory Model of Consumption	has construct	Performance of goal-directed behaviours
Perceived behavioural control	Positively influences	Performance of goal-directed behaviours
Perceived behavioural control	has annotation	BCIO:006034---belief about choice over a behaviour
Perceived behavioural control	has annotation	MFOEM:000075---appraisal of causal agency
Performance of goal-directed behaviours	has annotation	BCIO:050818---goal-directed behaviour
1---Action Theory Model of Consumption	has construct	Perceived behavioural control
1---Action Theory Model of Consumption	has construct	Trying
Perceived behavioural control	Positively influences	Trying
Perceived behavioural control	has annotation	BCIO:006034---belief about choice over a behaviour
Perceived behavioural control	has annotation	MFOEM:000075---appraisal of causal agency
Trying	has annotation	BCIO:006096---goal pursuit process
1---Action Theory Model of Consumption	has construct	Feedback
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Feedback	Influences	Antecedents of goal-directed behaviour
Feedback	has annotation	BCIO:007023---provide feedback on behaviour BCT
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Frequency of past behaviour
1---Action Theory Model of Consumption	has construct	Desire
Frequency of past behaviour	Influences	Desire
Frequency of past behaviour	has annotation	BCIO:050817---frequency of past behaviour
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Moral imperatives
1---Action Theory Model of Consumption	has construct	Desire
Moral imperatives	Influences	Desire
Moral imperatives	has annotation	BCIO:006063---personal value
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Social identity processes
1---Action Theory Model of Consumption	has construct	Desire
Social identity processes	Influences	Desire
Social identity processes	has annotation	BCIO:050775---social identity process
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Social identity processes
1---Action Theory Model of Consumption	has construct	Implementation intentions
Social identity processes	Influences	Implementation intentions
Social identity processes	has annotation	BCIO:050775---social identity process
Implementation intentions	has annotation	BCIO:006016---behavioural intention
1---Action Theory Model of Consumption	has construct	Low
1---Action Theory Model of Consumption	has construct	Implementation intentions
Low	Influences	Implementation intentions
Low	has annotation	BCIO:050918---low frequency of past behaviour
Implementation intentions	has annotation	BCIO:006016---behavioural intention
1---Action Theory Model of Consumption	has construct	Recency of past behaviour
1---Action Theory Model of Consumption	has construct	Performance of goal-directed behaviours
Recency of past behaviour	Positively influences	Performance of goal-directed behaviours
Recency of past behaviour	has annotation	BCIO:050453---behaviour end point
Recency of past behaviour	has annotation	BCIO:050481---past behaviour
Performance of goal-directed behaviours	has annotation	BCIO:050818---goal-directed behaviour
1---Action Theory Model of Consumption	has construct	High
1---Action Theory Model of Consumption	has construct	Performance of goal-directed behaviours
High	Influences	Performance of goal-directed behaviours
High	has annotation	BCIO:050917---high frequency of past behaviour
Performance of goal-directed behaviours	has annotation	BCIO:050818---goal-directed behaviour
1---Action Theory Model of Consumption	has construct	Perceived behavioural control
1---Action Theory Model of Consumption	has construct	Implementation intentions
Perceived behavioural control	Influences	Implementation intentions
Perceived behavioural control	has annotation	BCIO:006034---belief about choice over a behaviour
Perceived behavioural control	has annotation	MFOEM:000075---appraisal of causal agency
Implementation intentions	has annotation	BCIO:006016---behavioural intention
1---Action Theory Model of Consumption	has construct	Desirability
1---Action Theory Model of Consumption	has construct	Goal intention
Desirability	Influences (*)	Goal intention
Desirability	has annotation	BCIO:050617---comparative desirability appraisal
Goal intention	has annotation	BCIO:006016---behavioural intention
1---Action Theory Model of Consumption	has construct	Feasibility of goals
1---Action Theory Model of Consumption	has construct	Goal intention
Feasibility of goals	Influences (*)	Goal intention
Feasibility of goals	has annotation	BCIO:050592---belief about goal attainment
Goal intention	has annotation	BCIO:006016---behavioural intention
1---Action Theory Model of Consumption	has construct	Previous emotional experiences with behaviour
1---Action Theory Model of Consumption	has construct	Somatic marker processes
Previous emotional experiences with behaviour	Part of	Somatic marker processes
Previous emotional experiences with behaviour	has annotation	MFOEM:000001---emotion process
Somatic marker processes	has annotation	BCIO:050564---affective attitude acquired through association
1---Action Theory Model of Consumption	has construct	Normative beliefs
1---Action Theory Model of Consumption	has construct	Subjective norms
Normative beliefs	Influences (*)	Subjective norms
Normative beliefs	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
1---Action Theory Model of Consumption	has construct	Motivation to comply
1---Action Theory Model of Consumption	has construct	Subjective norms
Motivation to comply	Influences (*)	Subjective norms
Motivation to comply	has annotation	BCIO:006059---motivation to comply
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
1---Action Theory Model of Consumption	has construct	Beliefs
1---Action Theory Model of Consumption	has construct	Attitudes
Beliefs	Influences (*)	Attitudes
Beliefs	has annotation	MF:0000041---belief
Beliefs	has annotation	BCIO:006019---belief about consequences of behaviour
Attitudes	has annotation	BCIO:050328---attitude
1---Action Theory Model of Consumption	has construct	Beliefs
1---Action Theory Model of Consumption	has construct	Subjective norms
Beliefs	Influences (*)	Subjective norms
Beliefs	has annotation	MF:0000041---belief
Beliefs	has annotation	BCIO:006019---belief about consequences of behaviour
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
1---Action Theory Model of Consumption	has construct	Evaluations
1---Action Theory Model of Consumption	has construct	Attitudes
Evaluations	Influences (*)	Attitudes
Evaluations	has annotation	BCIO:006038---evaluative belief
Evaluations	has annotation	BCIO:006148---evaluative belief about the consequences of behaviour
Attitudes	has annotation	BCIO:050328---attitude
1---Action Theory Model of Consumption	has construct	Evaluations
1---Action Theory Model of Consumption	has construct	Subjective norms
Evaluations	Influences (*)	Subjective norms
Evaluations	has annotation	BCIO:006038---evaluative belief
Evaluations	has annotation	BCIO:006148---evaluative belief about the consequences of behaviour
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
1---Action Theory Model of Consumption	has construct	Subjective norms
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Subjective norms	Part of	Antecedents of goal-directed behaviour
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Anticipated emotions
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Anticipated emotions	Part of	Antecedents of goal-directed behaviour
Anticipated emotions	has annotation	BCIO:050590---belief about emotional consequences of goal attainment
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Social identity processes
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Social identity processes	Part of	Antecedents of goal-directed behaviour
Social identity processes	has annotation	BCIO:050775---social identity process
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Somatic marker processes
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Somatic marker processes	Part of	Antecedents of goal-directed behaviour
Somatic marker processes	has annotation	BCIO:050564---affective attitude acquired through association
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Goal intention
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Goal intention	Part of	Antecedents of goal-directed behaviour
Goal intention	has annotation	BCIO:006016---behavioural intention
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Attitudes
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Attitudes	Part of	Antecedents of goal-directed behaviour
Attitudes	has annotation	BCIO:050328---attitude
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Perceived behavioural control
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Perceived behavioural control	Part of	Antecedents of goal-directed behaviour
Perceived behavioural control	has annotation	BCIO:006034---belief about choice over a behaviour
Perceived behavioural control	has annotation	MFOEM:000075---appraisal of causal agency
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Desire
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Desire	Part of	Antecedents of goal-directed behaviour
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Frequency of past behaviour
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Frequency of past behaviour	Part of	Antecedents of goal-directed behaviour
Frequency of past behaviour	has annotation	BCIO:050817---frequency of past behaviour
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Moral imperatives
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Moral imperatives	Part of	Antecedents of goal-directed behaviour
Moral imperatives	has annotation	BCIO:006063---personal value
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Implementation intentions
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Implementation intentions	Part of	Antecedents of goal-directed behaviour
Implementation intentions	has annotation	BCIO:006016---behavioural intention
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Trying
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Trying	Part of	Antecedents of goal-directed behaviour
Trying	has annotation	BCIO:006096---goal pursuit process
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Recency of past behaviour
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Recency of past behaviour	Part of	Antecedents of goal-directed behaviour
Recency of past behaviour	has annotation	BCIO:050453---behaviour end point
Recency of past behaviour	has annotation	BCIO:050481---past behaviour
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Desirability
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Desirability	Part of	Antecedents of goal-directed behaviour
Desirability	has annotation	BCIO:050617---comparative desirability appraisal
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Feasibility of goals
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Feasibility of goals	Part of	Antecedents of goal-directed behaviour
Feasibility of goals	has annotation	BCIO:050592---belief about goal attainment
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Normative beliefs
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Normative beliefs	Part of	Antecedents of goal-directed behaviour
Normative beliefs	has annotation	BCIO:006042---normative belief
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Motivation to comply
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Motivation to comply	Part of	Antecedents of goal-directed behaviour
Motivation to comply	has annotation	BCIO:006059---motivation to comply
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Beliefs
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Beliefs	Part of	Antecedents of goal-directed behaviour
Beliefs	has annotation	MF:0000041---belief
Beliefs	has annotation	BCIO:006019---belief about consequences of behaviour
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	Evaluations
1---Action Theory Model of Consumption	has construct	Antecedents of goal-directed behaviour
Evaluations	Part of	Antecedents of goal-directed behaviour
Evaluations	has annotation	BCIO:006038---evaluative belief
Evaluations	has annotation	BCIO:006148---evaluative belief about the consequences of behaviour
Antecedents of goal-directed behaviour	has annotation	MF:0000032---bodily disposition
Antecedents of goal-directed behaviour	has annotation	ENVO:01000254---environmental system
1---Action Theory Model of Consumption	has construct	High
1---Action Theory Model of Consumption	has construct	Frequency of past behaviour
High	Part of	Frequency of past behaviour
High	has annotation	BCIO:050917---high frequency of past behaviour
Frequency of past behaviour	has annotation	BCIO:050817---frequency of past behaviour
1---Action Theory Model of Consumption	has construct	Low
1---Action Theory Model of Consumption	has construct	Frequency of past behaviour
Low	Part of	Frequency of past behaviour
Low	has annotation	BCIO:050918---low frequency of past behaviour
Frequency of past behaviour	has annotation	BCIO:050817---frequency of past behaviour
10---Containment Theory May 2020	has construct	External environment
10---Containment Theory May 2020	has construct	Outer containment
External environment	Influences	Outer containment
External environment	has annotation	ENVO:01000254---environmental system
External environment	has annotation	BCIO:006086---behavioural opportunity
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Inner drives or pushes
10---Containment Theory May 2020	has construct	Inner containment
Inner drives or pushes	Influences	Inner containment
Inner drives or pushes	has annotation	BCIO:006134---automatic behavioural motivation
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Outer containment
10---Containment Theory May 2020	has construct	Deviant behaviour
Outer containment	Influences (*)	Deviant behaviour
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
Deviant behaviour	has annotation	BCIO:036072---antisocial behaviour
10---Containment Theory May 2020	has construct	Inner containment
10---Containment Theory May 2020	has construct	Deviant behaviour
Inner containment	Influences (*)	Deviant behaviour
Inner containment	has annotation	BCIO:006005---self-regulation capability
Deviant behaviour	has annotation	BCIO:036072---antisocial behaviour
10---Containment Theory May 2020	has construct	Self-control
10---Containment Theory May 2020	has construct	Inner containment
Self-control	Part of	Inner containment
Self-control	has annotation	BCIO:006005---self-regulation capability
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Self-concept
10---Containment Theory May 2020	has construct	Inner containment
Self-concept	Part of	Inner containment
Self-concept	has annotation	ADDICTO:0000399---self-identity
Self-concept	has annotation	BCIO:006035---evaluation of self
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Ego strength
10---Containment Theory May 2020	has construct	Inner containment
Ego strength	Part of	Inner containment
Ego strength	has annotation	BCIO:050890---protective factor for harmful behaviour
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Superego
10---Containment Theory May 2020	has construct	Inner containment
Superego	Part of	Inner containment
Superego	has annotation	BCIO:050708---moral personal value
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Frustration tolerance
10---Containment Theory May 2020	has construct	Inner containment
Frustration tolerance	Part of	Inner containment
Frustration tolerance	has annotation	BCIO:006006---behavioural self-regulation capability
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Resistance to diversions
10---Containment Theory May 2020	has construct	Inner containment
Resistance to diversions	Part of	Inner containment
Resistance to diversions	has annotation	BCIO:006005---self-regulation capability
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Goal orientation
10---Containment Theory May 2020	has construct	Inner containment
Goal orientation	Part of	Inner containment
Goal orientation	has annotation	BCIO:006060---motivational orientation
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Ability to find substitute satisfactions
10---Containment Theory May 2020	has construct	Inner containment
Ability to find substitute satisfactions	Part of	Inner containment
Ability to find substitute satisfactions	has annotation	BCIO:050954---behavioural substitution capability
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Tension-reducing rationalisations
10---Containment Theory May 2020	has construct	Inner containment
Tension-reducing rationalisations	Part of	Inner containment
Tension-reducing rationalisations	has annotation	BCIO:050580---behavioural dissonance reduction through mental process
Inner containment	has annotation	BCIO:006005---self-regulation capability
10---Containment Theory May 2020	has construct	Opportunity for acceptance, identity, and belonging
10---Containment Theory May 2020	has construct	Outer containment
Opportunity for acceptance, identity, and belonging	Part of	Outer containment
Opportunity for acceptance, identity, and belonging	has annotation	BCIO:006090---social behavioural opportunity
Opportunity for acceptance, identity, and belonging	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Safety valves
10---Containment Theory May 2020	has construct	Outer containment
Safety valves	Part of	Outer containment
Safety valves	has annotation	BCIO:006090---social behavioural opportunity
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Limits and responsibilities
10---Containment Theory May 2020	has construct	Outer containment
Limits and responsibilities	Part of	Outer containment
Limits and responsibilities	has annotation	BCIO:006090---social behavioural opportunity
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Supervision and discipline
10---Containment Theory May 2020	has construct	Outer containment
Supervision and discipline	Part of	Outer containment
Supervision and discipline	has annotation	BCIO:050656---extrinsic social motivation
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Social expectations
10---Containment Theory May 2020	has construct	Outer containment
Social expectations	Part of	Outer containment
Social expectations	has annotation	BCIO:050671---group evaluative behavioural norm
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Presentation of consistent moral front
10---Containment Theory May 2020	has construct	Outer containment
Presentation of consistent moral front	Part of	Outer containment
Presentation of consistent moral front	has annotation	BCIO:050803---association behaviour with a pro-social group
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
10---Containment Theory May 2020	has construct	Institutional reinforcement of norms, goals, expectations
10---Containment Theory May 2020	has construct	Outer containment
Institutional reinforcement of norms, goals, expectations	Part of	Outer containment
Institutional reinforcement of norms, goals, expectations	has annotation	BCIO:050778---social reinforcement process for a behaviour
Outer containment	has annotation	BCIO:006001---social environmental system
Outer containment	has annotation	BCIO:006099---social influence behaviour
11---Control Theory	has construct	Output function (behaviour)
11---Control Theory	has construct	Impact on environment
Output function (behaviour)	Influences	Impact on environment
Output function (behaviour)	has annotation	BCIO:036000---individual human behaviour
Impact on environment	has annotation	BCIO:050823---impact of behaviour on environment
11---Control Theory	has construct	Comparator
11---Control Theory	has construct	Output function (behaviour)
Comparator	Influences	Output function (behaviour)
Comparator	has annotation	BCIO:050619---comparison of current situation with a standard
Output function (behaviour)	has annotation	BCIO:036000---individual human behaviour
11---Control Theory	has construct	Impact on environment
11---Control Theory	has construct	Input function (perception)
Impact on environment	Influences	Input function (perception)
Impact on environment	has annotation	BCIO:050823---impact of behaviour on environment
Input function (perception)	has annotation	MF:0000019---perception
11---Control Theory	has construct	Input function (perception)
11---Control Theory	has construct	Comparator
Input function (perception)	Influences	Comparator
Input function (perception)	has annotation	MF:0000019---perception
Comparator	has annotation	BCIO:050619---comparison of current situation with a standard
11---Control Theory	has construct	Input function (perception)
11---Control Theory	has construct	System control
Input function (perception)	Influences	System control
Input function (perception)	has annotation	MF:0000019---perception
System control	has annotation	BCIO:050860---desired standard for self-identity
11---Control Theory	has construct	Input function (perception)
11---Control Theory	has construct	Principle control
Input function (perception)	Influences	Principle control
Input function (perception)	has annotation	MF:0000019---perception
Principle control	has annotation	BCIO:050859---desired self-regulatory standard
11---Control Theory	has construct	Input function (perception)
11---Control Theory	has construct	Program control
Input function (perception)	Influences	Program control
Input function (perception)	has annotation	MF:0000019---perception
Program control	has annotation	BCIO:050859---desired self-regulatory standard
11---Control Theory	has construct	Input function (perception)
11---Control Theory	has construct	General course of action / senses
Input function (perception)	Influences	General course of action / senses
Input function (perception)	has annotation	MF:0000019---perception
General course of action / senses	has annotation	BCIO:050268---self-regulation process
11---Control Theory	has construct	System control
11---Control Theory	has construct	Principle control
System control	Influences	Principle control
System control	has annotation	BCIO:050860---desired standard for self-identity
Principle control	has annotation	BCIO:050859---desired self-regulatory standard
11---Control Theory	has construct	Principle control
11---Control Theory	has construct	Program control
Principle control	Influences	Program control
Principle control	has annotation	BCIO:050859---desired self-regulatory standard
Program control	has annotation	BCIO:050859---desired self-regulatory standard
11---Control Theory	has construct	Program control
11---Control Theory	has construct	General course of action / senses
Program control	Influences	General course of action / senses
Program control	has annotation	BCIO:050859---desired self-regulatory standard
General course of action / senses	has annotation	BCIO:050268---self-regulation process
11---Control Theory	has construct	General course of action / senses
11---Control Theory	has construct	Reference value
General course of action / senses	Influences	Reference value
General course of action / senses	has annotation	BCIO:050268---self-regulation process
Reference value	has annotation	BCIO:006079---desired standard
11---Control Theory	has construct	Reference value
11---Control Theory	has construct	Comparator
Reference value	Influences	Comparator
Reference value	has annotation	BCIO:006079---desired standard
Comparator	has annotation	BCIO:050619---comparison of current situation with a standard
11---Control Theory	has construct	Disturbance
11---Control Theory	has construct	Impact on environment
Disturbance	Influences	Impact on environment
Disturbance	has annotation	ENVO:01000254---environmental system
Impact on environment	has annotation	BCIO:050823---impact of behaviour on environment
11---Control Theory	has construct	System control
11---Control Theory	has construct	Hierarchy of systems
System control	Part of	Hierarchy of systems
System control	has annotation	BCIO:050860---desired standard for self-identity
Hierarchy of systems	has annotation	BCIO:050956---degree of organisational hierarchy
11---Control Theory	has construct	Principle control
11---Control Theory	has construct	Hierarchy of systems
Principle control	Part of	Hierarchy of systems
Principle control	has annotation	BCIO:050859---desired self-regulatory standard
Hierarchy of systems	has annotation	BCIO:050956---degree of organisational hierarchy
11---Control Theory	has construct	Program control
11---Control Theory	has construct	Hierarchy of systems
Program control	Part of	Hierarchy of systems
Program control	has annotation	BCIO:050859---desired self-regulatory standard
Hierarchy of systems	has annotation	BCIO:050956---degree of organisational hierarchy
11---Control Theory	has construct	General course of action / senses
11---Control Theory	has construct	Hierarchy of systems
General course of action / senses	Part of	Hierarchy of systems
General course of action / senses	has annotation	BCIO:050268---self-regulation process
Hierarchy of systems	has annotation	BCIO:050956---degree of organisational hierarchy
12---Differential Association Theory	has construct	Intimate personal groups
12---Differential Association Theory	has construct	Learning
Intimate personal groups	Influences	Learning
Intimate personal groups	has annotation	BCIO:006003---friendship network
Learning	has annotation	GO:0007612---None
12---Differential Association Theory	has construct	Differential association
12---Differential Association Theory	has construct	Learning
Differential association	Influences	Learning
Differential association	has annotation	BCIO:036084---association behaviour
Learning	has annotation	GO:0007612---None
12---Differential Association Theory	has construct	Communication
12---Differential Association Theory	has construct	Learning
Communication	Influences	Learning
Communication	has annotation	BCIO:036034---human communication behaviour
Learning	has annotation	GO:0007612---None
12---Differential Association Theory	has construct	Learning
12---Differential Association Theory	has construct	Favourable / unfavourable definitions of legal codes
Learning	Influences	Favourable / unfavourable definitions of legal codes
Learning	has annotation	GO:0007612---None
Favourable / unfavourable definitions of legal codes	has annotation	BCIO:006039---perceived norm
12---Differential Association Theory	has construct	Duration
12---Differential Association Theory	has construct	Differential association
Duration	Influences	Differential association
Duration	has annotation	BCIO:050455---behavioural duration
Differential association	has annotation	BCIO:036084---association behaviour
12---Differential Association Theory	has construct	Social organisation
12---Differential Association Theory	has construct	Differential association
Social organisation	Influences	Differential association
Social organisation	has annotation	BCIO:050893---socio-demographic characteristic
Differential association	has annotation	BCIO:036084---association behaviour
12---Differential Association Theory	has construct	Intensity
12---Differential Association Theory	has construct	Differential association
Intensity	Influences	Differential association
Intensity	has annotation	BCIO:050771---social embeddedness in a social group
Differential association	has annotation	BCIO:036084---association behaviour
12---Differential Association Theory	has construct	Priority
12---Differential Association Theory	has construct	Differential association
Priority	Influences	Differential association
Differential association	has annotation	BCIO:036084---association behaviour
12---Differential Association Theory	has construct	Frequency
12---Differential Association Theory	has construct	Differential association
Frequency	Influences	Differential association
